"ARTICLE";"QTE_ALLOUEE";"NUM_DOC";"DATE_BESOIN";
"11000865";53;"F426-09336";"24/03/2026";
"11000865";1;"F326-01645";"24/03/2026";
"11000865";1;"F126-44754";"24/03/2026";
"11000865";105;"F426-09412";"27/03/2026";
"11010978";60;"F426-09069";"24/03/2026";
"11011184";60;"F426-09069";"24/03/2026";
"11011586";4;"F126-43576";"01/09/2026";
"11011767";4;"F125-37633";"21/03/2026";
"11011768";10;"F425-04138";"21/03/2026";
"11011768";10;"F426-04299";"21/03/2026";
"11011768";360;"F426-10278";"31/03/2026";
"11011769";2;"F125-37633";"21/03/2026";
"11011769";5;"F426-04299";"21/03/2026";
"11011769";5;"F425-04138";"21/03/2026";
"11011769";180;"F426-10278";"31/03/2026";
"11011770";5;"F426-04299";"21/03/2026";
"11011770";5;"F425-04138";"21/03/2026";
"11011770";180;"F426-10278";"31/03/2026";
"11011772";5;"F426-04299";"21/03/2026";
"11011772";5;"F425-04138";"21/03/2026";
"11011772";2;"F125-37633";"21/03/2026";
"11011772";180;"F426-10278";"31/03/2026";
"11011789";2;"F125-37633";"21/03/2026";
"11011789";5;"F425-04138";"21/03/2026";
"11011789";5;"F426-04299";"21/03/2026";
"11011789";180;"F426-10278";"31/03/2026";
"11011857";150;"F426-09174";"24/03/2026";
"11011859";150;"F426-09174";"24/03/2026";
"11011918";150;"F426-09174";"24/03/2026";
"11011988";2;"F125-37633";"21/03/2026";
"11011988";5;"F425-04138";"21/03/2026";
"11011988";3744;"F426-09791";"24/03/2026";
"11012978";1;"F425-02806";"21/03/2026";
"11012978";4;"F426-04704";"21/03/2026";
"11012978";640;"F426-06373";"21/03/2026";
"11012978";34;"F425-03934";"21/03/2026";
"11012978";2;"F426-07053";"21/03/2026";
"11012978";16;"F426-07665";"23/03/2026";
"11012978";384;"F426-09580";"25/03/2026";
"11012978";24;"F426-09654";"31/03/2026";
"11012979";2;"F426-04704";"21/03/2026";
"11012979";1;"F426-07053";"21/03/2026";
"11012979";320;"F426-06373";"21/03/2026";
"11012979";17;"F425-03934";"21/03/2026";
"11012979";8;"F426-07665";"23/03/2026";
"11012979";192;"F426-09580";"25/03/2026";
"11012979";48;"F426-09653";"31/03/2026";
"11012979";1;"F126-43578";"01/09/2026";
"11016257";2;"AR2601337";"23/03/2026";
"11016260";48;"AR2600809";"26/03/2026";
"11016283";6;"AR2601338";"23/03/2026";
"11016781";6;"F326-01650";"23/03/2026";
"11016781";10;"F326-01658";"23/03/2026";
"11016782";10;"F326-01658";"23/03/2026";
"11016782";6;"F326-01650";"23/03/2026";
"11016783";1;"F126-43749";"21/03/2026";
"11016783";1;"F126-44498";"21/03/2026";
"11016783";15;"F326-01654";"23/03/2026";
"11016783";168;"F426-10018";"24/03/2026";
"11016784";1;"F126-44498";"21/03/2026";
"11016784";1;"F126-43749";"21/03/2026";
"11016784";15;"F326-01654";"23/03/2026";
"11016784";168;"F426-10018";"24/03/2026";
"11016785";10;"F326-01653";"23/03/2026";
"11016785";6;"F326-01651";"23/03/2026";
"11016785";300;"F426-06254";"23/03/2026";
"11016785";112;"F426-10013";"24/03/2026";
"11016785";300;"F426-10017";"24/03/2026";
"11016785";112;"F426-10014";"24/03/2026";
"11016785";112;"F426-10015";"24/03/2026";
"11016785";4;"F326-01652";"25/03/2026";
"11016786";10;"F326-01653";"23/03/2026";
"11016786";300;"F426-06254";"23/03/2026";
"11016786";6;"F326-01651";"23/03/2026";
"11016786";112;"F426-10014";"24/03/2026";
"11016786";112;"F426-10015";"24/03/2026";
"11016786";112;"F426-10013";"24/03/2026";
"11016786";300;"F426-10017";"24/03/2026";
"11016786";4;"F326-01652";"25/03/2026";
"11016787";5;"F326-01659";"23/03/2026";
"11016787";10;"F326-01656";"23/03/2026";
"11016787";10;"F326-01657";"23/03/2026";
"11016787";48;"F426-10012";"24/03/2026";
"11016787";480;"F426-10071";"27/03/2026";
"11016788";10;"F326-01656";"23/03/2026";
"11016788";5;"F326-01659";"23/03/2026";
"11016788";10;"F326-01657";"23/03/2026";
"11016788";48;"F426-10012";"24/03/2026";
"11016788";480;"F426-10071";"27/03/2026";
"11016789";4;"F125-40118";"21/03/2026";
"11016789";10;"F326-01655";"23/03/2026";
"11016789";2;"F126-44178";"23/03/2026";
"11016789";720;"F426-10016";"24/03/2026";
"11016789";384;"F426-10011";"24/03/2026";
"11016790";4;"F125-40118";"21/03/2026";
"11016790";10;"F326-01655";"23/03/2026";
"11016790";2;"F126-44178";"23/03/2026";
"11016790";384;"F426-10011";"24/03/2026";
"11016790";720;"F426-10016";"24/03/2026";
"11016791";63;"F426-08784";"21/03/2026";
"11016792";63;"F426-08784";"21/03/2026";
"11016801";720;"F426-10016";"24/03/2026";
"11016802";63;"F426-08784";"21/03/2026";
"11016808";1;"F126-44498";"21/03/2026";
"11016808";1;"F126-43749";"21/03/2026";
"11016808";168;"F426-10018";"24/03/2026";
"11016809";300;"F426-06254";"21/03/2026";
"11016809";300;"F426-10017";"24/03/2026";
"11016827";1;"F325-01358";"21/03/2026";
"11016863";10;"F326-01658";"23/03/2026";
"11016863";6;"F326-01650";"23/03/2026";
"11016879";1;"F126-44498";"21/03/2026";
"11016879";1;"F126-43749";"21/03/2026";
"11016879";15;"F326-01654";"23/03/2026";
"11016879";168;"F426-10018";"24/03/2026";
"11016880";10;"F326-01653";"23/03/2026";
"11016880";6;"F326-01651";"23/03/2026";
"11016880";300;"F426-06254";"23/03/2026";
"11016880";112;"F426-10015";"24/03/2026";
"11016880";112;"F426-10013";"24/03/2026";
"11016880";112;"F426-10014";"24/03/2026";
"11016880";300;"F426-10017";"24/03/2026";
"11016880";4;"F326-01652";"25/03/2026";
"11016881";10;"F326-01656";"23/03/2026";
"11016881";5;"F326-01659";"23/03/2026";
"11016881";10;"F326-01657";"23/03/2026";
"11016881";48;"F426-10012";"24/03/2026";
"11016881";480;"F426-10071";"27/03/2026";
"11016881";2;"F126-44050";"27/05/2026";
"11016883";1;"F126-44498";"21/03/2026";
"11016883";1;"F126-43749";"21/03/2026";
"11016883";15;"F326-01654";"23/03/2026";
"11016883";168;"F426-10018";"24/03/2026";
"11016889";300;"F426-06254";"23/03/2026";
"11016889";6;"F326-01651";"23/03/2026";
"11016889";10;"F326-01653";"23/03/2026";
"11016889";300;"F426-10017";"24/03/2026";
"11016889";112;"F426-10015";"24/03/2026";
"11016889";112;"F426-10014";"24/03/2026";
"11016889";112;"F426-10013";"24/03/2026";
"11016889";4;"F326-01652";"25/03/2026";
"11016895";2;"F126-44050";"27/05/2026";
"11016897";2;"F126-44050";"27/05/2026";
"11016922";1;"F325-01358";"21/03/2026";
"11016925";1;"F325-01358";"21/03/2026";
"11016928";1;"F325-01358";"21/03/2026";
"11016936";63;"F426-08784";"21/03/2026";
"11016938";10;"F326-01655";"21/03/2026";
"11016938";5;"F326-01659";"21/03/2026";
"11016938";2;"F126-44178";"21/03/2026";
"11016938";10;"F326-01657";"21/03/2026";
"11016938";10;"F326-01656";"21/03/2026";
"11016938";384;"F426-10011";"24/03/2026";
"11016938";720;"F426-10016";"24/03/2026";
"11016938";48;"F426-10012";"24/03/2026";
"11016938";480;"F426-10071";"27/03/2026";
"11016940";14;"F325-01066";"21/03/2026";
"11016940";2;"F325-00535";"21/03/2026";
"11016940";10;"F326-01653";"21/03/2026";
"11016940";300;"F426-06254";"21/03/2026";
"11016940";1;"F125-35998";"21/03/2026";
"11016940";6;"F326-01651";"23/03/2026";
"11016940";112;"F426-10014";"24/03/2026";
"11016940";112;"F426-10015";"24/03/2026";
"11016940";300;"F426-10017";"24/03/2026";
"11016940";112;"F426-10013";"24/03/2026";
"11016940";4;"F326-01652";"25/03/2026";
"11016941";1;"F126-43749";"21/03/2026";
"11016941";15;"F326-01654";"21/03/2026";
"11016941";1;"F126-44498";"21/03/2026";
"11016941";168;"F426-10018";"24/03/2026";
"11016942";10;"F326-01658";"21/03/2026";
"11016942";6;"F326-01650";"23/03/2026";
"11016953";2;"F325-01358";"21/03/2026";
"11016969";480;"F426-10071";"27/03/2026";
"11016970";720;"F426-10016";"24/03/2026";
"11016972";63;"F426-08784";"21/03/2026";
"11016977";10;"F326-01658";"21/03/2026";
"11016977";6;"F326-01650";"23/03/2026";
"11016978";1;"F126-43749";"21/03/2026";
"11016978";1;"F126-44498";"21/03/2026";
"11016978";15;"F326-01654";"21/03/2026";
"11016978";168;"F426-10018";"24/03/2026";
"11016979";2;"F325-00535";"21/03/2026";
"11016979";10;"F326-01653";"21/03/2026";
"11016979";300;"F426-06254";"21/03/2026";
"11016979";1;"F125-35998";"21/03/2026";
"11016979";14;"F325-01066";"21/03/2026";
"11016979";6;"F326-01651";"23/03/2026";
"11016979";300;"F426-10017";"24/03/2026";
"11016979";112;"F426-10013";"24/03/2026";
"11016979";112;"F426-10015";"24/03/2026";
"11016979";112;"F426-10014";"24/03/2026";
"11016979";4;"F326-01652";"25/03/2026";
"11016981";5;"F326-01659";"21/03/2026";
"11016981";10;"F326-01657";"21/03/2026";
"11016981";10;"F326-01656";"21/03/2026";
"11016981";48;"F426-10012";"24/03/2026";
"11016981";480;"F426-10071";"27/03/2026";
"11016982";10;"F326-01655";"21/03/2026";
"11016982";2;"F126-44178";"21/03/2026";
"11016982";720;"F426-10016";"24/03/2026";
"11016982";384;"F426-10011";"24/03/2026";
"11016984";63;"F426-08784";"21/03/2026";
"11016989";6;"F326-01650";"23/03/2026";
"11016989";10;"F326-01658";"23/03/2026";
"11018023";53;"F426-09336";"24/03/2026";
"11018023";1;"F126-44754";"24/03/2026";
"11018023";1;"F326-01645";"24/03/2026";
"11018023";105;"F426-09412";"27/03/2026";
"11018596";15;"F426-06677";"21/03/2026";
"11018596";35;"F126-44720";"21/03/2026";
"11018596";1;"F326-01506";"21/03/2026";
"11018596";10;"F326-01663";"24/03/2026";
"11018596";260;"F426-09806";"24/03/2026";
"11018596";30;"F326-01665";"26/03/2026";
"11018612";141;"F126-43992";"21/03/2026";
"11018635";35;"F126-44720";"21/03/2026";
"11018635";1;"F325-00762";"21/03/2026";
"11018635";30;"F326-01665";"26/03/2026";
"11018660";141;"F126-43992";"21/03/2026";
"11018752";575;"F126-44759";"21/03/2026";
"11018762";1;"F126-44754";"24/03/2026";
"11018762";1;"F326-01645";"24/03/2026";
"11018762";53;"F426-09336";"24/03/2026";
"11018762";105;"F426-09412";"27/03/2026";
"11018765";575;"F126-44759";"21/03/2026";
"11018766";53;"F426-09336";"24/03/2026";
"11018766";1;"F326-01645";"24/03/2026";
"11018766";1;"F126-44754";"24/03/2026";
"11018766";105;"F426-09412";"27/03/2026";
"11018767";53;"F426-09336";"24/03/2026";
"11018767";1;"F126-44754";"24/03/2026";
"11018767";1;"F326-01645";"24/03/2026";
"11018767";105;"F426-09412";"27/03/2026";
"11018768";1;"F326-01645";"24/03/2026";
"11018768";53;"F426-09336";"24/03/2026";
"11018768";1;"F126-44754";"24/03/2026";
"11018768";105;"F426-09412";"27/03/2026";
"11018769";575;"F126-44759";"21/03/2026";
"11018770";6800;"F126-41738";"14/02/2026";
"11018771";53;"F426-09336";"24/03/2026";
"11018771";1;"F126-44754";"24/03/2026";
"11018771";1;"F326-01645";"24/03/2026";
"11018771";105;"F426-09412";"27/03/2026";
"11018772";1;"F126-44754";"24/03/2026";
"11018772";53;"F426-09336";"24/03/2026";
"11018772";1;"F326-01645";"24/03/2026";
"11018772";105;"F426-09412";"27/03/2026";
"11018773";53;"F426-09336";"24/03/2026";
"11018773";1;"F126-44754";"24/03/2026";
"11018773";1;"F326-01645";"24/03/2026";
"11018773";105;"F426-09412";"27/03/2026";
"11018777";1;"F326-01645";"24/03/2026";
"11018777";53;"F426-09336";"24/03/2026";
"11018777";105;"F426-09412";"27/03/2026";
"11018779";53;"F426-09336";"24/03/2026";
"11018779";1;"F326-01645";"24/03/2026";
"11018779";1;"F126-44754";"24/03/2026";
"11018779";105;"F426-09412";"27/03/2026";
"11018797";26;"F326-01664";"26/03/2026";
"11018827";53;"F426-09336";"24/03/2026";
"11018827";1;"F326-01645";"24/03/2026";
"11018827";1;"F126-44754";"24/03/2026";
"11018827";105;"F426-09412";"27/03/2026";
"11018828";63;"F426-08784";"21/03/2026";
"11018830";141;"F126-43992";"21/03/2026";
"11018830";4;"F125-40118";"21/03/2026";
"11018830";2;"F126-44178";"23/03/2026";
"11018830";10;"F326-01655";"23/03/2026";
"11018830";720;"F426-10016";"24/03/2026";
"11018830";384;"F426-10011";"24/03/2026";
"11018831";63;"F426-08784";"21/03/2026";
"11018883";1;"F126-44754";"24/03/2026";
"11018883";1;"F326-01645";"24/03/2026";
"11018883";53;"F426-09336";"24/03/2026";
