"ARTICLE";"STOCK_PHYSIQUE";"STOCK_ALLOUE";"STOCK_BLOQUE";
"DP2254";0;0;0;
"7472ZLT";0;0;0;
"DP2278";0;0;0;
"DP2280";0;0;0;
"E3720";1146;49;0;
"E3721";3479;147;0;
"34331AL";0;0;0;
"34333AL";0;0;0;
"34378AL";0;0;0;
"56082AL";0;0;0;
"56110AL";0;0;0;
"56171AL";0;0;0;
"56172AL";0;0;0;
"56583AL";0;0;0;
"5689ZLT";0;0;0;
"57052AL";0;0;0;
"57606AL";0;0;0;
"5848ZLT";0;0;0;
"A1331C02";0;0;0;
"A1331E01";0;0;0;
"E1458";31;0;0;
"E1497";236;0;0;
"E1555";27022;5146;0;
"11551AL";0;0;0;
"11554AL";0;0;0;
"11568AL";0;0;0;
"25065AL";0;0;0;
"25066AL";0;0;0;
"25067AL";0;0;0;
"25068AL";0;0;0;
"25074AL";0;0;0;
"25075AL";0;0;0;
"D7203";2800;0;0;
"11574AL";0;0;0;
"6933ZLT";0;0;0;
"6991ZLT";0;0;0;
"6992ZLT";0;0;0;
"25076AL";0;0;0;
"25077AL";0;0;0;
"25078AL";0;0;0;
"25098AL";0;0;0;
"25103AL";0;0;0;
"DP2281";0;0;0;
"DP2285";0;0;0;
"34379AL";0;0;0;
"40402AL";0;0;0;
"43401AL";0;0;0;
"D7204";1663;528;0;
"D7205";58884;2275;0;
"D7206";718;48;0;
"D7207";1204;48;0;
"D7262";1184;0;0;
"D7281";4984;344;0;
"7011VTZ";0;0;0;
"7115ZLT";0;0;0;
"7116ZLT";0;0;0;
"D7497";2206;0;0;
"D7498";4869;0;0;
"D7499";3707;30;0;
"D7500";1355;0;0;
"7246PRA";0;0;0;
"7247PRA";0;0;0;
"D7501";2477;30;0;
"7520ZLT";0;0;0;
"7535ZLT";0;0;0;
"7541ZLT";0;0;0;
"E1578";0;0;0;
"E1657";480;82;0;
"E1658";879;162;0;
"E1681";72440;0;0;
"5935ZLT";0;0;0;
"5944ZLT";0;0;0;
"5946ZLT";0;0;0;
"6020ZLT";0;0;0;
"6053ZLT";0;0;0;
"6171ZLT";0;0;0;
"6201ZLT";0;0;0;
"D6894";1057;49;0;
"E1847";3129;3;0;
"E2348";1199;942;0;
"E2513";201;5;0;
"E3722";515;49;0;
"E3723";1934;98;0;
"A1697";3751;1;0;
"A1703E05";320;0;0;
"A1709E02";5543;942;0;
"A1563YRAL9005";109;0;0;
"11880AL";0;0;0;
"D7297";1350;0;0;
"25104AL";0;0;0;
"25105AL";0;0;0;
"25106AL";0;0;0;
"25107AL";0;0;0;
"25108AL";0;0;0;
"25109AL";0;0;0;
"25110AL";0;0;0;
"25111AL";0;0;0;
"A1709E03";660;0;0;
"A2592E";568;1;0;
"A2593";624;0;0;
"A2594";1247;0;0;
"A2595";2163;1;0;
"12220AL";23;0;0;
"D7298";1100;0;0;
"D7338";1200;0;0;
"130384GM";0;0;0;
"D7443";10914;1125;0;
"D7496";4834;0;0;
"130388GM";0;0;0;
"130389GM";79;0;0;
"7305ZLT";0;0;0;
"7307ZLT";0;0;0;
"7308ZLT";0;0;0;
"D7517";6014;8;0;
"25112AL";0;0;0;
"25113AL";0;0;0;
"25137AL";0;0;0;
"25138AL";0;0;0;
"25139AL";0;0;0;
"85343AL";0;0;0;
"85410AL";0;0;0;
"86280AL";0;0;0;
"E1233";1018;704;0;
"D7197";0;0;0;
"D7199";30423;2275;0;
"E2760";1121;0;0;
"E2778";2466;40;0;
"E2787";23304;0;0;
"E2817";637;1;0;
"E2878";2281;470;0;
"E2891";6560;939;0;
"E2906";130;19;0;
"7313ZLT";0;0;0;
"7314ZLT";0;0;0;
"7317ZLT";0;0;0;
"D7518";1130;0;0;
"7319ZLT";0;0;0;
"7320ZLT";0;0;0;
"7321ZLT";0;0;0;
"D7582";1611;161;0;
"DIV-PRODAE9";36305;0;114;
"91132AL";0;0;0;
"91189AL";0;0;0;
"91199AL";0;0;0;
"52236AL";0;0;0;
"E2557";1130;0;0;
