"ARTICLE";"DESCRIPTION";"CATEGORIE";"TYPE_APPRO";"DELAI_REAPPRO";
"A7375K04";"CHARIOT MM ME --90 VER BDH";"AP";"ACHAT";   28;
"A7363";"SUPPORT FIXE MH BDH";"AP";"ACHAT";   28;
"A7181";"SOCLE EAR ACOUS EQ 43dB BLC AE";"AP";"ACHAT";    0;
"A7190";"COUDE 90 BXE";"AP";"ACHAT";    0;
"A7398E02";"CASE 2 VOLETS EQU SPECIAL BDH";"AP";"ACHAT";   28;
"A7398E03";"CASE 2 VOLETS HYGRO SEUL BDH";"AP";"ACHAT";   28;
"BXC280EX";"BXC 1270--70 R0 PDL - 20 APPAE";"PF3";"FABRICATION";    0;
"BXC281EX";"BXC 12----70 -- PDC - 20 APPAE";"PF3";"FABRICATION";    0;
"A5724E01";"FACE AV EHM OBT BLC AE";"APV";"ACHAT";    0;
"A5724E02";"FACE AV EHM --- BLC AE";"APV";"ACHAT";    0;
"BXC281RU";"BXC 12----70 -- PDC - 20 APPAE";"PF3";"FABRICATION";    0;
"BXC299EX";"BXC 12----70 -- PDL - 20 125AE";"PF3";"FABRICATION";    0;
"BXC299RU";"BXC 12----70 -- PDL - 20 125AE";"PF3";"FABRICATION";    0;
"BXC300EX";"BXC 12----70 -- PDL - 20 APPAE";"PF3";"FABRICATION";    0;
"A5724N01";"FACE AV EHM OBT CHE AE";"AP";"ACHAT";    0;
"A1566H";"VOLET EXTRUDE NOI EMM";"AP";"ACHAT";    0;
"C3346";"PLAQUE D'ADAP CARRE 330 ALU";"AP";"ACHAT";    0;
"C3347";"PLAQUE D'ADAP CARRE 350 ALU";"AP";"ACHAT";    0;
"C3349L01";"PROFILE U 116 MM 2 M VBP GALVA";"AP";"ACHAT";    0;
"C3352L02";"TOLE PLEINE 600 x 1125 ALU";"AP";"ACHAT";    0;
"C3357L02";"PROFIL Z 120 x 2500 ALU";"AP";"ACHAT";    0;
"C3358L02";"PROFIL U 116 x 2500 ALU";"AP";"ACHAT";    0;
"BXC273AB";"BXC 1270---- R0 --- - -- 125AE";"PF3";"FABRICATION";    0;
"BXC273EX";"BXC 1270---- R0 --- - -- 125AE";"PF3";"FABRICATION";    0;
"A1563YRAL9005";"SOCLE RAL9005 EMM";"AP";"ACHAT";    0;
"BXC273RU";"BXC 1270---- R0 --- - -- 125AE";"PF3";"FABRICATION";    0;
"BXC275EX";"BXC 1270--70 R0 PDL - 20 125AE";"PF3";"FABRICATION";    0;
"5848ZLT";"SOCLE VDR FDSL DVV0 ZLT";"AC";"ACHAT";    0;
"BXC300RU";"BXC 12----70 -- PDL - 20 APPAE";"PF3";"FABRICATION";    0;
"A1566I";"VOLET EXTRUDE IVO EMM";"AP";"ACHAT";    0;
"A5724N02";"FACE AV EHM --- CHE AE";"AP";"ACHAT";    0;
"A5724Z01";"FACE AV EHM OBT GRF AE";"AP";"ACHAT";    0;
"A7370";"CYLINDRE SERINGUE MM BDH";"AP";"ACHAT";   20;
"BXC403EX";"BXC 12----70 -- SLA A 20 100AE";"PF3";"FABRICATION";    0;
"A5728L01";"BUTEE EHM 6M3 NAT";"AP";"ACHAT";    0;
"A6799E01";"FACE AUVENT BLC AE ETH";"AP";"ACHAT";    0;
"A6799E02";"FACE AUVENT BLC NEUTRE ETH";"AP";"ACHAT";    0;
"C3503L01";"TOLE SUPPORT 800x 800 VBP GALV";"AP";"ACHAT";    0;
"C3503L02";"TOLE SUPPORT 800x 800 VBP ALU";"AP";"ACHAT";    0;
"A7374";"CAPOT SERINGUE MM BDH";"AP";"ACHAT";   20;
"BXC275RU";"BXC 1270--70 R0 PDL - 20 125AE";"PF3";"FABRICATION";    0;
"A7250E01";"EMBASE EQ FUT BXE";"AP";"ACHAT";    0;
"A6968E02";"EMB EQUI --- BLC ABS ETH AE";"AP";"ACHAT";    0;
"A6968E04";"EMB EQUI FIXE BLC ABS ETH AE";"AP";"ACHAT";    0;
"A6968U03";"EMB EQUI --- BLF PS ETH AL";"AP";"ACHAT";    0;
"BXC276EX";"BXC 12----70 -- PDC - 20 125AE";"PF3";"FABRICATION";    0;
"BXC276RU";"BXC 12----70 -- PDC - 20 125AE";"PF3";"FABRICATION";    0;
"BXC277AB";"BXC 1270---- R0 --- - -- APPAE";"PF3";"FABRICATION";    0;
"A7369";"EMBASE MM BDH";"AP";"ACHAT";   28;
"A7250E02";"EMBASE EQ FUT PRESSION BXE";"AP";"ACHAT";    0;
"A7250E04";"EMBASE EQ COUDE PRESSION BXE";"AP";"ACHAT";    0;
"A7375G05";"CHARIOT MM ME --75 BLE BDH";"AP";"ACHAT";   28;
"A7375J02";"CHARIOT MM ME --120 JAU BDH";"AP";"ACHAT";   28;
"BXC404EX";"BXC 12----70 -- IFR A 20 100AE";"PF3";"FABRICATION";    0;
"A6968U05";"EMB EQUI FIXE BLF PS ETH AL";"AP";"ACHAT";    0;
"A1564H";"EMBASE NOI EMM";"AP";"ACHAT";    0;
"BXC406EX";"BXC 1270--70 R0 IFR A 20 100AE";"PF3";"FABRICATION";    0;
"BXC406RU";"BXC 1270--70 R0 IFR A 20 100AE";"PF3";"FABRICATION";    0;
"130390GM";"MOUSSE ACOUS EEP EN T 15MM GM";"AC";"ACHAT";    0;
"130403GM";"MOUSSE ACOUS VIROLE EHT GM";"AC";"ACHAT";    0;
"A5729E01";"ENTRETOISE EHM ---- BLC";"AP";"ACHAT";    0;
"A5729E02";"ENTRETOISE EHM 15M3 BLC";"AP";"ACHAT";    0;
"A7143E01";"FACE AV BXE G PRE AE";"APV";"ACHAT";    0;
"A7143E02";"FACE AV BXE G --- AE";"APV";"ACHAT";    0;
"A5818";"TRAVERSEE DE FENETRE EHM";"AP";"ACHAT";    0;
"A680";"PLAQUE OBTURATION 180x280mm";"APV";"ACHAT";    0;
"A7375F06";"CHARIOT MM ME --30 CUI ROU BDH";"AP";"ACHAT";   28;
"BXC277RU";"BXC 1270---- R0 --- - -- APPAE";"PF3";"FABRICATION";    0;
"BXC278EX";"BXC 1270--70 R0 PDC - 20 APPAE";"PF3";"FABRICATION";    0;
"A1564M";"EMBASE CHC EMM";"AP";"ACHAT";    0;
"A6968U06";"EMB EQUI OBT BLF PS ETH AL";"AP";"ACHAT";    0;
"BXC279EX";"BXC 1270--70 R0 INT - 20 APPAE";"PF3";"FABRICATION";    0;
"BXC279GM";"BXC 1270--70 R0 INT - 20 APPAE";"PF3";"FABRICATION";    0;
"BXC279RU";"BXC 1270--70 R0 INT - 20 APPAE";"PF3";"FABRICATION";    0;
"BXC280AB";"BXC 1270--70 R0 PDL - 20 APPAE";"PF3";"FABRICATION";    0;
"A5724Z02";"FACE AV EHM --- GRF AE";"AP";"ACHAT";    0;
"A7399";"CASE EQUIPEE 1 VOLET BDH";"AP";"ACHAT";   28;
"CE6169";"CE PYRO LUMIERE MB DXR DXA HUB";"STF";"FABRICATION";    0;
"A4412";"DEMIE FOURCHETTE PETITE BDC";"AP";"ACHAT";    0;
"EHM1281EX";"EHM  3 35 LOB SS AG -- CHE AE";"PF3";"FABRICATION";    0;
"EHM1281RU";"EHM  3 35 LOB SS AG -- CHE AE";"PF3";"FABRICATION";    0;
"EHM1282EX";"EHM  3 35 LOB SS AG -- BLC AE";"PF3";"FABRICATION";    0;
"EHM1283EX";"EHM  3 35 LOB SS -- -- CHO AE";"PF3";"FABRICATION";    0;
"EHT969GM";"EHT  735 I- 1-O VI KA1 SV B AE";"PF3";"FABRICATION";    0;
"EMF021HU";"EMM  30     O- -- CHO AE";"PF3";"FABRICATION";    0;
"EMF959PO";"EMM  30     O- AG BLC AE";"PF3";"FABRICATION";    0;
"EMF961PO";"EMM  30     O- AG CHE AE";"PF3";"FABRICATION";    0;
"EMF963EX";"EMM  30     O-    BLC AE";"PF3";"FABRICATION";    0;
"K5926";"VIS ME CHC ZN 4.0x10.0";"AFANT";"ACHAT";    0;
"EMF021PO";"EMM  30     O- -- CHO AE";"PF3";"FABRICATION";    0;
"EMF029HU";"EMM  30     O- -- CHE AE";"PF3";"FABRICATION";    0;
"EHL1392AL";"EAR  4-31 R-- - SS -- CHF AL";"PF3";"FABRICATION";    0;
"D5039";"ETIQ AVANT TELECOM IR AE";"AP";"ACHAT";    0;
"D5040";"ETIQ ARRIERE TELECOM IR AE";"AP";"ACHAT";    0;
"A4416C09";"EMBASE BUTE MH 10-70 GRI BDC";"AP";"ACHAT";    0;
"D5829";"ETIQ ECO SIMPLE FLUX ZEBRA";"AP";"ACHAT";    0;
"D6106";"NOT POSE CAL 230 VAC BXC";"AP";"ACHAT";    0;
"EHM1283RU";"EHM  3 35 LOB SS -- -- CHO AE";"PF3";"FABRICATION";    0;
"EHM1284EX";"EHM 11 35 L-- SS -- -- CHO AE";"PF3";"FABRICATION";    0;
"EHM1285EX";"EHM 11 35 L-- SS -- -- CHE AE";"PF3";"FABRICATION";    0;
"EHT087BA";"EHT  735 I- 1-O VI KA3 SV B --";"PF3";"FABRICATION";    0;
"CE6538";"CE CDE 2I2O MB DXA DXR HUB";"AP";"ACHAT";  200;
"CE4091";"CE PRES DECALE PDL BXC";"STF";"FABRICATION";    0;
"EMF963RU";"EMM  30     O-    BLC AE";"PF3";"FABRICATION";    0;
"A4532H";"GUIDE LUMIERE NOIR B2F";"AP";"ACHAT";    0;
"K7350";"VIS PA RPH ZN 3.5x38.0";"AC";"ACHAT";    0;
"CE4092";"CE INTER BXC";"STF";"FABRICATION";    0;
"EHM1432EX";"EHM  3 35 L-- SS -- -- GRF AE";"PF3";"FABRICATION";    0;
"EHT1445AE";"EHT 1135 I- 1-- VI --- -- B AE";"PF3";"FABRICATION";    0;
"CE4093";"CE IFR BXC";"STF";"FABRICATION";    0;
"EHM2033EX";"EHM  3 35 L-- SS -- -- CHO AE";"PF3";"FABRICATION";    0;
"A4173E03";"FACE AV BXC PRE XO";"AP";"ACHAT";    0;
"D4921";"NOT POS B2F";"AP";"ACHAT";    0;
"D6894";"ETIQ SECURITE COUVERCLE VAM";"AP";"ACHAT";    0;
"A4461L02";"CREMAILLERE ELEC 6.5-33 BDS";"AP";"ACHAT";    0;
"A3866";"VOLET TRANSLUCIDE EFR";"AP";"ACHAT";    0;
"A3867";"GLISSIERE EFR";"AP";"ACHAT";    0;
"A3868";"CURSEUR EFR";"AP";"ACHAT";    0;
"A4184";"SOCLE ELEC SANS AXE BXC";"AP";"ACHAT";    0;
"D7443";"NOT POS ETH AE";"AP";"ACHAT";    0;
"EHL1560LA";"EAR  4-31 R-- V SS -- CHC AL";"PF3";"FABRICATION";    0;
"CE4218";"CE PRES INST PDC BXC";"STF";"FABRICATION";    0;
"CE4760";"CE CO2 PWM / 0-10V B2F";"STF";"FABRICATION";    0;
"EHP1220AE";"EHP 11 35 L-- - - - - BLC AE";"PF3";"FABRICATION";    0;
"A4122I";"SOCLE EAR ACOUS 39dB IVO AL";"AP";"ACHAT";    0;
"A4122N";"SOCLE EAR ACOUS 39dB CHE AL";"AP";"ACHAT";    0;
"A4173E07";"FACE AV BXC PRE SC";"APV";"ACHAT";    0;
"A4173E08";"FACE AV BXC --- SC";"APV";"ACHAT";    0;
"CE5099";"CE MODULE GESTION VB2";"AP";"ACHAT";  120;
