"Article parent";"Designation parent";"Niveau";"Article composant";"Désignation composant";"Qté lien";"Nature consommation";"Type article";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";    5;"11011857";"DEFLECT EA 30 M3 BLANC C";1;"Proportionnel";"Acheté";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";   10;"11011859";"CORPS EA 30M3 BLANC C";1;"Proportionnel";"Acheté";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";   15;"11011918";"REGULATEUR TERPHANE 30M3";1;"Proportionnel";"Acheté";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";   25;"11085092";"SACHET PLAST.230X320 vrac";1;"Proportionnel";"Acheté";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";   30;"11085304";"CARTON 575x375x H450 vrac";0,007;"Proportionnel";"Acheté";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";   35;"E7768";"ETIQUETTE EAN 100*70";0,007;"Proportionnel";"Acheté";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";   40;"E7211";"INTERCALAIRE CARTON 1170x770x3";1;"Au Forfait";"Acheté";
"11011116";"REGUL.MOD.ENCAST. BLC/WHI";   45;"E7768";"ETIQUETTE EAN 100*70";1;"Proportionnel";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";    5;"11010978";"S/E MINI EA30 BLC 9016";1;"Proportionnel";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";   17;"F1332";"ETIQ BLC PAPIER 50x100 ZEBRA";0,017;"Proportionnel";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";   20;"11011184";"MINI AUVENT STD. BLC/WHI RAL90";1;"Proportionnel";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";   30;"E7768";"ETIQUETTE EAN 100*70";0,017;"Proportionnel";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";   35;"E7211";"INTERCALAIRE CARTON 1170x770x3";1;"Au Forfait";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";   40;"11085304";"CARTON 575x375x H450 vrac";0,017;"Proportionnel";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";   45;"E6216";"TRANSF THERM 110mmx500m FILM";0,0002;"Proportionnel";"Acheté";
"11011171";"KIT MINI EA 30 BLC/WHI NF";   50;"E6044";"ROULEAU EMB SACHET EHM L340";0,0078;"Proportionnel";"Acheté";
"11011350";"MOD.ACOUST.MENUIS. BLC/WHY";    5;"11011840";"ENSEMBLE CORPS MAM BLANC";1;"Proportionnel";"Acheté";
"11011350";"MOD.ACOUST.MENUIS. BLC/WHY";   10;"11011854";"PROFIL AUVENT AC.BLANC";26;"Proportionnel";"Acheté";
"11011350";"MOD.ACOUST.MENUIS. BLC/WHY";   15;"11085197";"ELASTIQUE EP.1,5 ref50 vrac";0,001;"Proportionnel";"Acheté";
"11011350";"MOD.ACOUST.MENUIS. BLC/WHY";   25;"11085092";"SACHET PLAST.230X320 vrac";1;"Proportionnel";"Acheté";
"11011350";"MOD.ACOUST.MENUIS. BLC/WHY";   35;"11089206";"VIS TOLE D2.91X9,5 INOX vrac";2;"Proportionnel";"Acheté";
"11011350";"MOD.ACOUST.MENUIS. BLC/WHY";   40;"E7768";"ETIQUETTE EAN 100*70";1;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";    5;"11011768";"REGULATEUR M30 ELLIA";2;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   10;"11011769";"MOUSS.ACOUST.ELLIA HORIZ";1;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   15;"11011770";"MOUSS.ACOUST.ELLIA VERTI";1;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   20;"11011772";"BOIT+PLAT.ELLIA BLC RAL9016";1;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   25;"11011789";"AILETTES ELLIA RAL9016 BLC D+G";1;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   30;"11085890";"SACHET PE 400X600 50µ vrac";0,2;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   40;"11085304";"CARTON 575x375x H450 vrac";0,017;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   45;"11085048";"RLX 1000 ETIQ..BLANCHE 26 x 16";0,001;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   47;"E7768";"ETIQUETTE EAN 100*70";0,2;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   50;"11085197";"ELASTIQUE EP.1,5 ref50 vrac";0,2;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   52;"E7768";"ETIQUETTE EAN 100*70";0,017;"Proportionnel";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   55;"E7211";"INTERCALAIRE CARTON 1170x770x3";1;"Au Forfait";"Acheté";
"11011508";"ELLIA 30 - BLC/WHI";   55;"11085197";"ELASTIQUE EP.1,5 ref50 vrac";1;"Proportionnel";"Acheté";
